year,id,word_count,cooccur_topic1_house,smallpox_burial_cooccurrences,cooccur_topic5_price,cooccur_topic3_would,cooccur_topic5_good,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_stock,cooccur_topic2_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic2_ship,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic1_county,cooccur_topic5_assortment,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic4_every,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic1_said,cooccur_topic5_sale,cooccur_topic3_time,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1846,42_1846-04-02_p1_sn83030313_00271742939_1846040201_0392,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9826227,0.0060793525,0.004565555,0.0036599182,0.0030724786
1846,30_1846-06-04_p1_sn83030313_00271742939_1846060401_0676,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30761597,0.0012094763,0.31313956,0.24210256,0.13593246
1846,12_1846-04-03_p3_sn82014769_00415661022_1846040301_0373,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66669464,0.010911026,0.0080918195,0.006500497,0.30780208
1846,29_1846-10-21_pNone_sn86053972_00295878186_1846102101_0027,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632275,0.06664158,0.29647717,0.0025078938,0.0020983564
1846,5_1846-07-17_p1_sn82014769_00415661022_1846071701_0731,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002983033,0.0017669466,0.9497672,0.044602167,0.0008807114
1846,4_1846-03-14_p1_sn82014769_00415661022_1846031401_0303,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35882932,0.0011826667,0.00087030814,0.000696882,0.6384209
1846,53_1846-09-24_pNone_sn84026472_00416156359_1846092401_0731,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005928181,0.20891441,0.002695295,0.1626458,0.6198163
1846,38_1846-12-03_p3_sn84020071_00414182963_1846120301_0336,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98764604,0.0043456587,0.0032304546,0.0025985022,0.0021793707
1846,2_1846-04-06_p2_sn82014769_00415661022_1846040601_0380,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024412326,0.019639632,0.70416594,0.27300408,0.0007491986
1846,14_1846-12-31_p2_sn83030213_00206530248_1846123101_0730,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020887136,0.15012825,0.8151474,0.007525866,0.0063113477
1846,4_1846-08-01_p1_sn87090125_00414212621_1846080101_0239,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035787115,0.0021808692,0.4968692,0.49628282,0.0010883532
1846,49_1846-09-28_p4_sn82014769_00415661010_1846092801_0174,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8652387,0.04680185,0.035421822,0.02855327,0.02398437
1846,19_1846-06-09_p2_sn82014769_00415661022_1846060901_0602,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29994646,0.010789489,0.6778085,0.006238645,0.005216878
1846,58_1846-11-07_p2_sn82014769_00415661010_1846110701_0306,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20991309,0.016484674,0.756125,0.009504628,0.007972651
1846,64_1846-06-30_p3_sn82014769_00415661022_1846063001_0677,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02607502,0.016993186,0.9382155,0.010180093,0.008536163
1846,22_1846-08-11_p1_sn82014769_00415661022_1846081101_0817,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962377,0.013215714,0.009838966,0.007924343,0.0066439826
1846,6_1846-10-24_p4_sn82014769_00415661010_1846102401_0260,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38517448,0.002030365,0.22462131,0.0012118904,0.38696197
1846,28_1846-10-02_p1_sn82003410_00415661162_1846100201_0993,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62046486,0.01147103,0.3555421,0.0068189204,0.005703056
1846,36_1846-05-07_p4_sn82014769_00415661022_1846050701_0490,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045377733,0.989841,0.0022641555,0.0018251847,0.0015319511
1846,14_1846-12-30_p2_sn83030213_00206530248_1846123001_0726,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009746103,0.00061148877,0.37542644,0.62268233,0.00030506033
1846,39_1846-05-14_p3_sn83030313_00271742939_1846051401_0582,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925818,0.0059435237,0.004423487,0.9773822,0.0029926135
1846,6_1846-12-30_p2_sn83030213_00206530248_1846123001_0726,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10058874,0.3993263,0.39197743,0.0010076776,0.1070998
1846,65_1846-10-26_p3_sn82003410_00415661162_1846102601_1076,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051249612,0.88618326,0.025176035,0.020324381,0.017066725
1846,41_1846-12-30_p3_sn84020566_0041418747A_1846123001_0096,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6177393,0.0041112937,0.3736954,0.0024250264,0.002028925
1846,62_1846-01-08_p3_sn82014769_00415661022_1846010801_0125,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01648988,0.010245488,0.0076677655,0.0061890227,0.9594078
1846,5_1846-12-31_p4_sn84020566_0041418747A_1846123101_0101,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038912874,0.002567617,0.0019095474,0.95532364,0.0012863441
1846,8_1846-02-28_p4_sn87090028_00295877959_1846022801_0659,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8782125,0.10527738,0.00668045,0.005347777,0.004481848
1846,6_1846-08-31_p2_sn82014769_00415661010_1846083101_0076,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069351094,0.0042900974,0.35260677,0.6339897,0.0021783516
1846,11_1846-05-14_p3_sn83030313_00271742939_1846051401_0582,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5828756,0.0027317877,0.0020267386,0.0016245424,0.41074127
