year,id,word_count,cooccur_topic4_house,cooccur_topic3_prize,cooccur_topic1_hundred,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic5_like,smallpox_sick_cooccurrences,cooccur_topic1_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_dollar,cooccur_topic4_street,cooccur_topic3_number,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic3_ticket,cooccur_topic4_wilmington,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic4_market,cooccur_topic2_said,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic4_john,cooccur_topic2_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1826,20_1826-09-07_p3_sn85042523_00271740244_1826090701_0643,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025041532,0.0042215073,0.9660558,0.0025477263,0.0021333788
1826,35_1826-01-26_p4_sn85042523_00271740244_1826012601_0512,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1906497,0.0035766833,0.8017998,0.002164008,0.0018098997
1826,3_1826-03-24_p1_sn82014894_00271740207_1826032401_0542,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17274423,0.82425475,0.0012142552,0.00097292237,0.0008137895
1826,30_1826-11-09_p3_sn85042523_00271740244_1826110901_0674,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04074269,0.02576465,0.904413,0.01581179,0.013267933
1826,27_1826-11-16_p3_sn85042523_00271740244_1826111601_0678,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30237728,0.013843589,0.66837865,0.008375732,0.0070246723
1826,62_1826-10-26_p4_sn85042523_00271740244_1826102601_0667,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010484319,0.006531386,0.66646457,0.3132012,0.0033185892
1826,10_1826-12-21_p2_sn85042523_00271740244_1826122101_0698,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12971538,0.7614217,0.10768525,0.00064120255,0.00053639844
1826,23_1826-07-13_p3_sn85042523_00271740244_1826071301_0609,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032572486,0.7301748,0.21540278,0.011882169,0.00996787
1826,5_1826-08-03_p1_sn85042523_00271740244_1826080301_0621,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018049947,0.22566311,0.0008137956,0.0006529119,0.7710652
1826,28_1826-08-25_p1_sn82014894_00271740207_1826082501_0719,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13948262,0.0073407292,0.24604037,0.00431865,0.60281765
1826,9_1826-08-01_p4_sn82014309_00414182926_1826080101_0026,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016642999,0.11048468,0.6237347,0.00039064896,0.24874704
1826,27_1826-06-01_p2_sn85042523_00271740244_1826060101_0583,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008476135,0.90269876,0.0037080336,0.08262685,0.0024902625
1826,48_1826-01-19_p4_sn85042523_00271740244_1826011901_0508,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08870393,0.05828708,0.044101622,0.7790562,0.0298512
1826,14_1826-12-21_p2_sn85042523_00271740244_1826122101_0698,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02245791,0.9500535,0.011094123,0.008919258,0.007475181
1826,54_1826-08-22_p4_sn82014894_00271740207_1826082201_0718,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49529037,0.03932764,0.029361013,0.41611883,0.019902145
1826,12_1826-10-20_p4_sn82014894_00271740207_1826102001_0789,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8473001,0.009174677,0.0068592546,0.13207163,0.00459427
